parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
12818710,,,,2,2,,6,2,,,1278,1278,,,,,6037,,2,,,,2,34017572,-117983942,7945,,,,,,0100,261,LCA106,60374084.01,45602,3101,,96489,0,,,,1,,,1958,,,134070,204478,2016,70408,2587.24,,,6.03741E+13
13873974,,,,2,3,,,2,,,1816,1816,,,,,6059,,2,2,533,,,33875669,-117924637,7000,,,,,,122,261,,60590113,24812,1286,,97040,5,,,,,,,2007,1,,233457,640811,2016,407354,7212.16,,,6.05901E+13
12150252,,,,2,4,,8,2,,,1935,1935,,,,,6037,,2,,,,2,34231431,-118233178,10042,1,,,,1,0101,261,LCR11L,60373001,396551,3101,,96330,0,,,,1,,,1960,,,240407,715719,2016,475312,7927.74,,,6.0373E+13
14180744,,,,3,4,,,3,,,2387,2387,,,,,6059,,3,2,637,,,33873243,-117857587,7000,,,,,,122,261,,60590117.16,26531,1286,,97068,9,,,,,,,1979,2,,230121,343162,2016,113041,4282.24,,,6.05901E+13
11509476,,,,2,2,,8,2,,,790,790,,,,,6037,,2,,,,2,33872600,-118405000,4312,,,,,,010E,266,HBC1*,60376210.04,29712,3101,,96109,0,,,,1,,,1972,,,185611,276469,2016,90858,3204.25,,,6.03762E+13
11579764,1,,,4,4,,10,4,,,4682,4682,,,,,6037,,4,,,,2,34042427,-118491140,7556,,,,,,0100,261,SMR1*,60377012.01,26964,3101,761547,96149,0,,,,1,,,1986,,,800980,2881451,2016,2080471,33433.39,,,6.0377E+13
12235936,,,,1,2,,5,1,,,748,748,,,,,6037,,1,,,,,33935347,-118283193,4889,,,,,,0100,261,LAR1,60372412.02,12447,3101,118208,96025,0,,,,1,,,1925,,,42335,211684,2016,169349,2669.29,,,6.03724E+13
12209246,,,,1,2,,6,1,,,1090,1090,,,,,6037,,1,,,,7,33954049,-118300189,4520,,,,,,0100,261,LAR1,60372384,118914,3101,,96028,0,,,,1,,,1936,,,62083,127758,2016,65675,1680.34,,,6.03724E+13
12487209,,,,2,3,,4,2,,,1064,1064,,,,,6037,,2,,,,7,33846104,-118110704,5156,1,,,,1,0101,261,LKR1YY,60375711.01,12292,3101,,96213,0,,,,1,,,1950,,,108000,539000,2016,431000,6644.47,,,6.03757E+13
11688275,,,,2,4,,7,2,,,1621,1621,,,,,6037,,2,,,,2,34030666,-118838032,8316,1,,,,1,0101,261,LCR18000*,60378004.08,12520,3101,,96116,0,,,,1,,,1964,,,90796,454008,2016,363212,5761.56,,,6.0378E+13
17163667,,,,2,4,,,2,,1506,1506,1506,,,1506,,6111,,2,1,360,,,34191571,-119183076,7000,,,,,,1110,261,,61110086,13150,2061,,97101,7,,,,,,,1944,1,,54610,73110,2016,18500,833.88,,,6.11101E+13
11064304,,,,2,4,,8,2,,,1660,1660,,,,,6037,,2,,,,2,34260025,-118507594,8999,,,,,,0100,261,LARS,60371113.01,12447,3101,31817,96370,0,,,,1,,,1963,,,55431,246671,2016,191240,3097.1,,,6.03711E+13
17089105,,,,2.5,3,,,2.5,,880,1660,1660,,,880,,6111,1,2,2,0,,,34265848,-119225642,,,,,,,1129,266,,61110015.02,34543,2061,,97083,7,,1,,,,,1989,2,,135654,388323,2016,252669,4130.98,,,6.111E+13
12423571,,,,3,4,,8,3,,,2010,2010,,,,,6037,,3,,,,2,33850856,-118084859,6504,1,,,,1,0104,261,CERS6500,60375545.22,10774,3101,,96206,0,,,,1,,,1976,,,114900,169135,2016,54235,2129.71,,,6.03755E+13
12793639,1,,,3,4,,,3,,,2058,2058,,,,,6037,,3,,,,2,33941455,-118035039,7841,,,,,,0100,261,LCRA6000*,60375032.02,118225,3101,,96173,0,,,,1,,,2000,,,156490,421556,2016,265066,5073.34,,,6.0375E+13
11460062,,,,3,4,,8,3,,,3169,3169,,,,,6037,,3,,,,2,33974591,-118405120,7114,,,,,,0100,261,LAR1,60372770,12447,3101,7877,96026,0,,,,1,,,1950,,,383655,789384,2016,405729,9628.16,,,6.03728E+13
10834775,,,,1,2,,4,1,,,790,790,,,,,6037,,1,,,,7,34202438,-118511799,6016,,,,,,0100,261,LAR1,60371319,12447,3101,32368,96415,0,,,,1,,,1949,,,68134,296464,2016,228330,3714.28,,,6.03713E+13
10907795,,,,3,3,,8,3,,,2512,2512,,,,,6037,,3,,,,2,34153547,-118382769,11513,1,,,,1,0101,261,LAR1,60371433.01,12447,3101,47880,96447,0,,,,1,,,1940,,,248533,1041396,2016,792863,12563.86,,,6.03714E+13
12930602,1,,,3,3,,6,3,,,1474,1474,,,,,6037,,3,,,,2,34084200,-117901000,1592,,,,,,010D,269,CVR17500PC,60374060,24245,3101,,96473,0,,,,1,,,1985,,,34974,53585,2016,18611,916.78,,,6.03741E+13
17272694,,,,4.5,4,,,4.5,66,1752,3691,3691,,,1752,,6111,1,4,2,672,,,34194080,-118911410,7173,1,376,,,1,1111,261,,61110061,34278,2061,46736,96351,9,,1,,,252,,2004,2,,369684,1056241,2016,686557,11306.7,,,6.11101E+13
11847259,1,,,1,3,,6,1,,,1422,1422,,,,,6037,,1,,,,2,34058895,-118134192,7917,,,,,,0100,261,MPR1YY,60374821.01,6021,3101,,96496,0,,,,1,,,1942,,,109535,355856,2016,246321,4654.7,,,6.03748E+13
12804622,,,,2,3,,6,2,,,1601,1601,,,,,6037,,2,,,,7,33991641,-118070168,5594,,,,,,0100,261,LCR1YY,60375010.01,396556,3101,,96174,0,,,,1,,,1949,,,108556,156558,2016,48002,2272.86,,,6.0375E+13
14660526,,,,3,3,,,3,,,1523,1523,,,,,6059,,3,2,0,,,33693325,-117818275,,,,,,,1,266,,60590525.16,52650,1286,275979,96943,0,,,,,,,2006,,,255781,520000,2016,264219,7251.74,,,6.05905E+13
11405164,,,,2,3,,6,2,,,1194,1194,,,,,6037,,2,,,,7,33958407,-118344800,4187,,,,,,0100,261,INR3YY,60376010.02,45888,3101,,96133,0,,,,1,,,1940,,,104469,365489,2016,261020,5145.14,,,6.0376E+13
12009079,,,,4,6,,5,4,,,3268,,,3268,,,6037,,4,,,,7,34091506,-118288026,7706,,,,,,0400,248,LARD1.5,60371913.01,12447,3101,32059,96010,0,,,,4,,,1905,,,87176,391531,2016,304355,5048.39,,,6.03719E+13
12044285,1,,,3,4,,9,3,,,3310,3310,,,,,6037,,3,,,,2,34194953,-118290808,6296,,,,,,0100,261,BUR1*,60373101,396054,3101,,96433,0,,,,1,,,1979,,,408797,1045583,2016,636786,11598.51,,,6.03731E+13
12154757,,,,3,5,,8,3,,,2479,2479,,,,,6037,,3,,,,2,34209209,-118195863,12123,,,,,,0100,261,LFR110000*,60374605.02,46080,3101,,96271,0,,,,1,,,1951,,,259330,856009,2016,596679,10882.86,,,6.03746E+13
11724804,,,,1,2,,6,1,,,1081,1081,,,,,6037,,1,,,,7,34023959,-118355893,6633,,,,,,0100,261,LAR1,60372201,12447,3101,268581,95997,0,,,,1,,,1940,,,67603,338022,2016,270419,4134.88,,,6.03722E+13
14132465,,,,3,4,,,3,,,2609,2609,,,,,6059,,3,2,615,,,33865839,-118035330,5500,,,,,,122,261,,60591101.15,15237,1286,,96183,0,,,,,,,1989,,,306861,748420,2016,441559,8473.46,,,6.05911E+13
11407904,,,,3,1,,,3,,,1484,,,1484,,,6037,,3,,,,,33948437,-118350830,6385,,,,,,0300,247,INP1YY,60376011,45888,3101,,96133,0,,,,3,,,1940,,,51925,194737,2016,142812,3045.21,,,6.0376E+13
13915491,,,,0,0,,,,,,3469,,,,,3469,6059,,,0,0,,,33849027,-117944212,7292,,,,,,96,248,,60590867.01,16764,1286,274800,97020,0,,,,4,,,1962,2,,152933,338121,2016,185188,4730.26,,,6.05909E+13
10957255,,,,2,2,,4,2,,,1500,,,1500,,,6037,,2,,,,7,34177435,-118339278,6599,,,,,,0200,246,BUR1*,60373113,396054,3101,,96437,0,,,,2,,,1951,,,198000,660000,2016,462000,7322.81,,,6.03731E+13
11313425,1,,,3,4,,8,3,,,2209,2209,,,,,6037,,3,,,,2,34667173,-118070975,7168,,,,,,0100,261,LRA22*,60379005.04,5534,3101,,97318,0,,,,1,,,2009,,,191403,239252,2016,47849,4659.64,,,6.0379E+13
12350281,,,,3,3,,6,3,,,1568,1568,,,,,6037,,3,,,,7,33940774,-118115586,5835,,,,,,0100,261,DOR15000*,60375510,4406,3101,,96101,0,,,,1,,,1949,,,130326,390452,2016,260126,4868.54,,,6.03755E+13
12612912,,,,2,3,,4,2,,,1891,1891,,,,,6037,,2,,,,2,33795930,-118312441,4188,,,,,,0100,261,LOR1*,60376700.02,53027,3101,,96217,0,,,,1,,,1926,,,224000,613000,2016,389000,7546.76,,,6.03767E+13
13029309,,,,1,4,,4,1,,,1156,1156,,,,,6037,,1,,,,7,34118243,-117874712,6051,,,,,,0100,261,GDR1,60374039.01,11626,3101,,96485,0,,,,1,,,1955,,,26072,41373,2016,15301,810.46,,,6.0374E+13
14229652,,,,3,4,,,3,,,2415,2415,,,,,6059,,3,1,390,,,33812206,-117822203,7560,,,,,,122,261,,60590758.12,33252,1286,,97065,8,,,,,,,1965,2,,136398,684786,2016,548388,7422.9,Y,15,6.05908E+13
14520607,,,,0,0,,,,,,,,,,,,6059,,,,,,,33739700,-117971000,,,,,,,73,263,,60590992.22,34780,1286,,96990,0,,,,,,,,,,6773,6773,2016,,,,,6.0591E+13
12800101,1,,,1,4,,4,1,,,1210,1210,,,,,6037,,1,,,,2,33950796,-118050610,11172,,,,,,0100,261,LCA106,60375029.02,118225,3101,,96173,0,,,,1,,,1949,,,58440,292207,2016,233767,3760.62,,,6.0375E+13
13875344,,,,1,2,,,1,,,720,,,,,720,6059,,1,,,,,33873560,-117910241,6442,,,,,,122,261,,60590114.04,24812,1286,,97039,5,,,,,,,1912,1,,28682,371363,2016,342681,4499.96,,,6.05901E+13
14128194,,,,2.5,3,,,2.5,,,1603,1603,,,,,6059,1,2,2,479,,,33841334,-117869107,5238,,,,,,122,261,,60590864.07,16764,1286,274765,97025,7,,1,,,,,1971,1,,97713,431697,2016,333984,9560.28,,,6.05909E+13
10968504,,,,1,3,,4,1,,,1086,1086,,,,,6037,,1,,,,7,34302410,-118440398,7271,,,,,,0100,261,LAR1,60371064.03,12447,3101,34213,96368,0,,,,1,,,1952,,,91015,415999,2016,324984,5011.84,,,6.03711E+13
11838649,1,,,5,4,,7,5,,,3427,3427,,,,,6037,,5,,,,2,34050511,-118139399,23385,,,,,,0100,261,MPR1YY,60374820.02,6021,3101,,96496,0,,,,1,,,2007,,,1160000,1960000,2016,800000,24286.19,,,6.03748E+13
14734993,,,,2.5,1,,,2.5,,,1496,1496,,,,,6059,,2,2,0,,,33774107,-117863934,,,,,,,1,266,,60590760,47568,1286,,97005,0,,1,,,,,2006,,,211619,380912,2016,169293,4276.26,,,6.05908E+13
12587960,1,,,2,3,,6,2,,,1574,1574,,,,,6037,,2,,,,2,33820420,-118277549,5359,,,,,,0100,261,CARS*,60375436.01,10723,3101,,96229,0,,,,1,,,1956,,,147892,383593,2016,235701,5117.7,Y,15,6.03754E+13
14712700,,,,1.5,2,,,1.5,,,1087,1087,,,,,6059,,1,2,0,,,33838463,-117953471,,,,,,,34,266,,60590871.02,16764,1286,274800,97020,0,,1,,,,,1984,,,98412,355000,2016,256588,4314.64,,,6.05909E+13
11951495,,,,1,2,,4,1,,,1124,1124,,,,,6037,,1,,,,7,34111995,-118258503,3900,,,,,,0100,261,LAR1,60371871.01,12447,3101,268010,96020,0,,,,1,,,1931,,,66491,166236,2016,99745,2142.4,,,6.03719E+13
11555202,,,,2,3,,8,2,,,1923,1923,,,,,6037,,2,,,,7,34016361,-118435252,7911,,,,,,0100,261,LAR1,60372715,12447,3101,116415,96047,0,,,,1,,,1947,,,150996,754995,2016,603999,9163.76,,,6.03727E+13
12075749,1,,,3,4,,8,3,,,2577,2577,,,,,6037,,3,,,,2,34180939,-118202985,8991,1,,,,1,0101,261,GLR1RY,60373009.01,45457,3101,273633,96325,0,,,,1,,,1968,,,327121,883228,2016,556107,9729.22,,,6.0373E+13
14153485,,,,1,3,,,1,,,1582,1582,,,,,6059,,1,1,360,,,33934897,-117927632,6148,,,,,,122,261,,60590014.02,18874,1286,,96186,6,,,,,,,1957,1,,83451,292760,2016,209309,3530.14,,,6.059E+13
11442567,1,,,2,3,,8,2,,,1276,,,1276,,,6037,,2,,,,2,33882425,-118356036,5201,,,,,,0200,246,LNR2YY,60376040.01,46178,3101,,96111,0,,,,,,,2002,,,154151,353572,2016,199421,4574.72,,,6.0376E+13
11922099,1,,,3,3,,8,3,,,2343,2343,,,,,6037,,3,,,,2,34139363,-118074267,11060,,,,,,0100,261,LCR105,60374631.02,,3101,,96295,0,,,,1,,,1941,,,183879,411467,2016,227588,4979.95,,,6.03746E+13
13978514,,,,2.5,4,,,2.5,,,2710,2710,,,,,6059,1,2,2,612,,,33699077,-117978027,6600,,,,,,122,261,,60590992.31,8384,1286,,97008,9,,1,,,,,1971,2,,191216,488166,2016,296950,5520.7,,,6.0591E+13
14694694,,,,1,1,,,1,,,676,676,,,,,6059,,1,1,0,,,33700800,-117882000,,,,,,,34,266,,60590740.06,47568,1286,268482,97007,0,,,,,,,1970,,,48186,165162,2016,116976,2105.8,,,6.05907E+13
17232927,,,,3,4,,,3,,1408,2568,2568,,,1408,,6111,1,3,2,662,,,34290474,-118725253,8752,,,,,,1111,261,,61110085,27110,2061,,97116,8,,,,,,,1985,2,,272533,454217,2016,181684,7227.46,,,6.11101E+13
14083800,,,,2,3,,,2,,,1790,1790,,,,,6059,,2,2,418,,,33753062,-118028727,6200,,,,,,122,261,,60590996.03,25218,1286,,96965,7,,,,,,,1963,1,,78269,640000,2016,561731,7403.5,,,6.0591E+13
12984311,1,,,3,3,,6,3,,,1294,1294,,,,,6037,,3,,,,2,34074600,-118008000,35229,,,,,,010C,266,EMR3*,60374333.06,51861,3101,,96479,0,,,,1,,,1980,,,85000,294000,2016,209000,3961.66,,,6.03743E+13
10917452,,,,2,3,,6,2,,,1886,1886,,,,,6037,,2,,,,2,34137510,-118406340,13080,1,,,,1,0101,261,LAR1,60371439.01,12447,3101,47880,96449,0,,,,1,,,1950,,,125775,182498,2016,56723,2378.5,,,6.03714E+13
12744973,,,,1,2,,4,1,,,1218,1218,,,,,6037,,1,,,,7,33911159,-118106356,6477,,,,,,0100,261,NOR1*,60375519,53636,3101,,96193,0,,,,1,,,1951,,,57216,125832,2016,68616,1842.33,,,6.03755E+13
10803982,1,,,2,2,,8,2,,,1029,1029,,,,,6037,,2,,,,2,34167800,-118524000,60951,1,,,,1,010E,266,LAR3,60371395.03,12447,3101,51906,96349,0,,,,1,,,1971,,,118729,196290,2016,77561,2427.26,,,6.03714E+13
11821263,,,,1,2,,4,1,,,1241,1241,,,,,6037,,1,,,,7,34056937,-118175251,3733,,,,,,0100,261,LCR3*,60375306.01,17882,3101,,96044,0,,,,1,,,1937,,,92897,239858,2016,146961,3341.22,,,6.03753E+13
11210912,1,,,2,3,,6,2,,,1270,1270,,,,,6037,,2,,,,2,34569230,-118037607,7277,,,,,,0100,261,PDR1*,60379107.13,40227,3101,,97330,0,,,,1,,,1987,,,144974,181217,2016,36243,2919.35,,,6.03791E+13
11053675,,,,2,3,,8,2,,,1726,1726,,,,,6037,,2,,,,2,34231720,-118479158,8318,,,,,,0100,261,LARS,60371174.04,12447,3101,13017,96369,0,,,,1,,,1965,,,56933,74304,2016,17371,1128.32,,,6.03712E+13
11862845,,,,1,4,,5,1,,,1130,1130,,,,,6037,,1,,,,7,34053626,-118093453,6276,,,,,,0100,261,LCRA05,60374825.21,54212,3101,,96510,0,,,,1,,,1928,,,80688,403446,2016,322758,4891.46,,,6.03748E+13
10861790,1,,,6,4,,10,6,,,8554,8554,,,,,6037,,6,,,,2,34134581,-118434257,22526,1,,,,1,0101,261,LARE15,60371417,12447,3101,27080,96086,0,,,,1,,,2000,,,3057949,3993396,2016,935447,48102.22,,,6.03714E+13
11297948,1,,,3,4,,8,3,,,1889,1889,,,,,6037,,3,,,,2,34683386,-118107741,8123,,,,,,0100,261,LRRA7500*,60379005.05,5534,3101,,97318,0,,,,1,,,1991,,,173600,217000,2016,43400,3369.35,,,6.0379E+13
11655460,,,,2,3,,7,2,,,1676,1676,,,,,6037,,2,,,,2,34107182,-118403973,19931,1,,,,1,0101,261,LARE15,60372611.01,12447,3101,113749,96086,0,,,,1,,,1959,,,151678,699528,2016,547850,8634.25,,,6.03726E+13
10877222,,,,1,3,,4,1,,,1107,1107,,,,,6037,,1,,,,7,34210814,-118371280,6499,,,,,,0100,261,LAR1,60371221.2,12447,3101,41131,96375,0,,,,1,,,1948,,,91228,184439,2016,93211,2404.83,,,6.03712E+13
12831077,1,,,2,3,,7,2,,,2341,2341,,,,,6037,,2,,,,2,33946631,-117966349,10969,,,,,,0100,261,WHR110000*,60375002.01,18875,3101,,96171,0,,,,1,,,1959,,,161614,808080,2016,646466,9217.23,,,6.0375E+13
11974597,,,,3,3,,8,3,,,2255,2255,,,,,6037,,3,,,,2,34130390,-118195006,9743,,,,,,0100,261,LAR1,60371832.22,12447,3101,114808,96022,0,,,,1,,,1980,,,207109,551322,2016,344213,6780.22,,,6.03718E+13
11100705,1,,,3,4,,8,3,,,2108,2108,,,,,6037,,3,,,,2,34220767,-118550853,5433,,,,,,0100,261,LAR1,60371153.02,12447,3101,33183,96354,0,,,,1,,,1978,,,146173,243560,2016,97387,6717.68,,,6.03712E+13
12680795,,,,3,5,,7,3,,,3196,3196,,,,,6037,,3,,,,2,33819713,-118366949,8680,,,,,,0100,261,TORR-LO,60376512.02,54722,3101,416967,96163,0,,,,1,,,1949,,,616331,1125485,2016,509154,12814.43,,,6.03765E+13
13065168,1,,,4,4,,8,4,,,2671,2671,,,,,6037,,4,,,,2,34037903,-117801515,8276,,,,,,0100,261,LCR18000*,60374033.16,24384,3101,,96505,0,,,,1,,,1969,,,298930,369031,2016,70101,4759.83,,,6.0374E+13
12997877,,,,1,3,,4,1,,,1063,1063,,,,,6037,,1,,,,7,34103781,-118017407,5137,,,,,,0100,261,LCR105,60374315.02,50749,3101,,96267,0,,,,1,,,1950,,,112554,249804,2016,137250,3428.06,,,6.03743E+13
12629876,,,,2,2,,5,2,,,1320,,,1320,,,6037,,2,,,,,33774228,-118264427,4822,,,,,,0200,246,LARD1.5,60372948.3,12447,3101,48516,96228,0,,,,2,,,1928,,,82775,169748,2016,86973,2132.13,,,6.03729E+13
11487876,,,,3,3,,8,3,,,1433,1433,,,,,6037,,3,,,,2,33873600,-118365000,13789,,,,,,010C,266,RBR-3,60376205.21,33612,3101,,96124,0,,,,1,,,1984,,,143008,358145,2016,215137,4408.7,,,6.03762E+13
11969054,1,,,3,3,,4,3,,,2108,2108,,,,,6037,,3,,,,2,34126076,-118226237,5364,,,,,,0100,261,LAR1,60371861,12447,3101,114808,96046,0,,,,1,,,2014,,,299000,699000,2015,400000,,,,6.03719E+13
