merchant,time,amount_usd_in_cents
77e92110f7,2034-10-28 01:08:31,69051
d093556dbb,2033-12-02 01:40:01,2809
fd4be41f14,2034-03-16 18:15:07,15690
6826692227,2033-12-29 17:11:26,3772
ff86f631bd,2034-07-30 11:49:17,4994
941b2b7291,2033-06-28 05:57:55,40984
357569f603,2034-03-04 02:08:39,20346
c914de3f81,2034-07-22 04:46:38,7979
7adfb52eb6,2033-12-04 01:16:52,10283
0ec9f57f10,2033-07-07 15:52:49,1740
5b08673729,2034-10-16 23:25:31,16672
83c331080d,2034-06-19 21:43:49,7253
16acd8f383,2034-02-19 06:06:20,2124
7c7333e72e,2034-10-25 04:07:48,11332
36745cc693,2033-10-13 15:13:32,1003
6044a863a1,2034-11-05 22:07:16,8901
7b543b2ce0,2033-07-02 14:57:51,55678
2830132055,2034-12-02 21:49:04,6770
44ee3ec72c,2034-10-21 02:51:09,47841
2d6fd1f081,2034-12-16 18:44:53,3701
7d2ed8b226,2034-04-05 16:34:39,4275
7dc2f76f3c,2033-12-04 06:04:33,4774
7ebe98c24a,2034-05-29 14:21:26,4518
78639fbae7,2034-10-11 02:11:38,9418
faa029c6b0,2034-02-07 17:53:13,30429
ef0c79a327,2034-12-14 17:49:37,11494
29892bc4f6,2034-08-07 20:20:23,12923
ee57011cd9,2034-11-20 04:01:16,7717
3889007434,2034-05-14 11:54:16,17319
41b86f2b7b,2033-12-15 15:26:10,16516
fd4be41f14,2034-03-18 03:51:13,16495
ee0e287095,2033-11-20 18:49:55,3730
2e363fb57b,2034-05-07 22:12:05,933
9970a8dea0,2034-11-10 01:36:43,1154
d1d0f1feee,2033-10-03 14:36:04,19252
98a5b35f97,2034-03-04 06:11:13,4017
d503cb6f1c,2033-10-30 18:27:00,37217
ffb94e1865,2034-04-07 16:16:36,6430
fd7e36d5bb,2034-06-07 16:40:00,4974
e7acee51f7,2034-12-03 04:12:07,24174
4647d230cc,2034-04-04 23:35:08,7030
9b60c4f7af,2034-06-09 03:53:29,14648
c914de3f81,2034-06-11 20:56:09,13782
00575c7901,2034-09-30 12:39:36,7326
3148119aeb,2034-09-30 21:58:34,49206
c7956b0bad,2034-12-03 01:10:37,9281
53b3fbeae2,2034-12-18 23:55:35,6304
1efd59ec8b,2034-09-06 05:33:04,29495
6044a863a1,2034-11-10 20:22:35,8392
c2a58cf5f6,2034-08-02 19:22:36,1235
bdebc6831e,2033-06-12 19:55:17,37287
c7f293055c,2034-10-04 19:16:48,3085
4a7b88e2c0,2033-10-27 16:51:19,3407
03547ec91d,2034-10-20 03:09:36,9025
e24f3f86d4,2034-06-01 16:51:40,1648
c568c58825,2033-10-23 23:27:08,6650
a9f00c4b46,2033-10-04 21:42:07,4842
fae77cd687,2033-12-18 20:26:23,5247
644f4b8914,2033-11-29 01:51:39,7884
01f6668962,2034-03-10 16:31:56,3978
e24f3f86d4,2034-02-09 16:03:23,3609
4647d230cc,2034-03-20 07:14:04,5793
0cd5f38d30,2034-03-22 20:53:22,990
2d0459034b,2034-07-12 13:06:57,5229
d7b8a3a6f5,2034-07-30 15:09:49,4921
12e5f58798,2034-08-12 01:00:46,6093
068da9961c,2033-07-15 23:10:03,3282
7e5d56439b,2034-04-16 00:32:53,21914
c1bb618375,2034-04-21 20:36:06,10897
6f84a88932,2034-02-19 21:44:58,1471
433ebb967c,2034-11-27 14:56:55,8667
38dc1e2016,2034-03-30 01:18:16,9350
56b2506169,2033-10-28 12:27:10,55767
ba479e6e7f,2034-11-22 17:57:12,12605
0950da1dfe,2034-02-20 03:45:46,3166
5c8ccd1d30,2034-08-05 00:05:53,64869
3cc77ac046,2034-11-30 00:24:29,2344
f11205719b,2034-06-12 23:39:42,6248
56b2506169,2033-10-28 12:43:36,21402
e53c9543bc,2034-04-19 17:47:47,2892
5608f200cf,2034-03-16 20:06:09,820
09b0864a3a,2034-05-26 20:09:38,9091
29892bc4f6,2034-10-25 21:34:29,9630
d099b797e4,2034-07-14 03:27:45,4898
1c48c02a8d,2034-08-15 22:12:52,4508
efd89d2e14,2033-12-26 20:53:33,19389
b8334fab93,2034-12-02 19:41:00,18796
6db46eecd9,2034-07-20 00:10:44,11961
6131b26dd9,2034-12-19 11:47:24,3381
6d4b3b04af,2034-12-02 01:04:40,8573
8dce239d00,2034-11-28 16:52:04,11407
fed1302c98,2033-12-07 01:07:18,752
74da462e37,2034-05-01 03:06:52,2325
fa634928a7,2034-11-16 19:22:34,4453
c5179457b2,2034-02-04 06:26:47,18986
f9109ea8a7,2034-08-09 02:01:47,18974
a03a7df510,2033-08-04 22:38:41,7355
b583972b34,2034-07-05 18:03:26,3163
2c328165ea,2033-10-16 02:57:59,436
e4fd1f726d,2034-03-09 03:27:51,23242
bf82bfb0f4,2034-10-09 04:28:47,7236
554a9ad55b,2034-05-29 16:51:44,7661
7c7056e858,2034-04-26 20:33:56,65346
ee0e287095,2034-12-21 22:44:16,5517
1008585e71,2034-11-01 23:07:49,4559
7ebe98c24a,2034-03-14 02:34:06,2749
09d9f3e0e1,2034-12-03 01:09:28,4381
eff0a1ef00,2034-12-24 15:58:20,5149
2c5e54ea2f,2034-07-07 18:53:52,5493
cebd298171,2034-09-19 17:13:22,3678
07cabcb557,2034-06-13 23:54:32,2355
4dbba63e15,2034-07-26 18:00:27,7288
878047f4b9,2033-11-05 00:33:47,5514
c1fc93be00,2034-10-07 22:44:45,31697
f8a2ff67b0,2034-12-28 21:00:32,41446
6e2d3e8abd,2033-04-22 19:36:06,2983
00575c7901,2034-11-02 19:38:59,8161
c34200262a,2034-08-01 04:40:09,2896
6032e301e1,2034-08-15 05:07:36,9372
b6e54d5073,2034-04-15 18:34:45,3774
f1e3d2be45,2034-11-11 00:45:58,2587
8e44a71ee5,2034-08-24 14:25:13,2578
d4fd546a96,2033-03-17 01:05:48,4808
4ee2609a27,2034-01-30 22:44:09,12010
7e5d56439b,2034-03-04 01:46:43,6408
644f4b8914,2033-12-02 08:44:07,6817
55244515a3,2033-08-19 23:16:44,2356
eff0a1ef00,2034-02-20 18:07:50,3552
3bbef4b4d2,2034-12-01 13:16:44,16711
04f8a5a2f9,2034-08-20 20:13:02,6164
31cab9a84b,2033-08-06 20:37:53,3710
681836a496,2034-06-20 20:36:16,5459
6032e301e1,2033-09-27 07:59:01,10969
11464843d0,2034-11-11 19:31:21,42843
ea5648b199,2034-06-30 04:44:02,5679
64fa9b16be,2033-12-10 21:43:46,1918
65f0553dfb,2033-06-08 19:10:21,1764
89e2d29885,2034-01-10 21:05:13,1327
d97f6677c9,2034-07-13 12:58:37,29094
b0276c5ff2,2033-09-02 14:27:14,2762
9c749273d0,2034-12-10 17:57:25,37719
1a30367739,2033-01-31 18:53:27,105518
944d296669,2034-08-28 00:11:27,2164
500e013179,2033-11-15 22:03:06,4348
7c25b43415,2034-06-30 19:17:37,5653
f205e6f7c2,2034-12-06 18:55:38,3938
16acd8f383,2034-11-15 16:39:13,1327
521ff7c5a6,2034-10-17 16:59:47,2405
6032e301e1,2034-11-22 06:05:47,17652
2a9401c788,2034-12-01 23:53:24,4150
6827b229c9,2034-08-30 06:25:33,3098
4b683b2bc5,2034-08-26 15:14:07,12157
042cf1e451,2034-02-08 06:25:05,155430
0f5f24dba3,2034-11-06 17:31:05,13538
4148bc2090,2033-11-28 00:40:50,3381
63a2d868a5,2034-09-24 00:50:04,4361
02c9bf7fcd,2034-08-02 22:12:21,8234
983cd9b842,2034-08-29 19:07:11,41752
ffb94e1865,2034-10-18 02:17:49,5703
68b7f619f5,2033-06-23 23:44:05,2768
da40214160,2034-12-07 17:01:03,43771
fa634928a7,2033-02-25 20:19:26,7982
c632bd590c,2034-09-10 18:58:01,8526
3932608d23,2033-03-01 01:23:31,5790
d087d4c321,2034-12-03 21:17:14,4068
61f47f43a7,2034-07-09 23:36:24,6066
d503cb6f1c,2034-03-26 04:52:51,9439
ef3c3f1db2,2034-09-14 17:10:19,4112
a9f00c4b46,2033-08-15 19:46:36,5022
2526c3a9f9,2034-06-14 00:34:29,15956
c9fdb196a8,2034-11-17 11:18:38,3755
f31c1604b1,2034-12-01 14:17:23,456848
695de2b108,2034-05-18 23:32:04,6125
7347d3b20c,2034-08-09 19:03:17,209
77011e5637,2034-08-29 03:20:31,74511
6ec7b50636,2034-11-28 01:10:26,5339
eb5a6ac14d,2034-12-12 19:04:14,4859
72445e23c7,2034-03-02 01:47:30,6370
a4ae5bbbca,2034-05-24 17:27:18,2412
30986e2424,2034-08-23 12:58:23,1371
9843e52410,2033-11-22 01:39:41,5470
aa4d0eb6ac,2034-06-24 18:12:39,4433
913696f5ff,2034-01-02 04:44:35,7349
51920255f1,2034-05-02 16:35:40,12515
d4fd546a96,2034-03-14 00:37:37,5156
22fc61c69b,2034-09-03 16:15:44,5769
ef3c3f1db2,2034-08-21 14:54:13,3866
00575c7901,2034-12-20 19:01:31,5637
f591f18a05,2034-01-27 23:01:09,2942
3d19fb5ffb,2033-10-10 02:07:50,5328
bc153e3bed,2034-12-21 17:02:44,81062
36745cc693,2033-04-29 23:58:24,1431
4d7c2bbfd3,2034-06-20 15:39:06,15306
4c3a879f61,2033-10-26 17:34:49,651
570821a6bf,2034-06-08 22:19:39,63690
6032e301e1,2034-04-05 09:56:08,2319
23c60d67e5,2034-12-30 02:15:18,23072
6757ee0f2b,2034-09-27 22:52:07,4348
4473409963,2034-10-16 05:21:30,9366
eb6cafa141,2034-02-13 19:35:00,9853
8def055c22,2034-10-21 02:03:08,14220
554a9ad55b,2034-01-12 21:59:43,6615
ba05f75c98,2033-04-15 02:43:03,12783
d7b8a3a6f5,2033-09-05 19:55:00,3108
592f83609e,2034-11-17 00:21:48,4773
5c8ccd1d30,2033-11-19 21:54:43,2675
6213e1481d,2033-10-03 00:04:24,23487
74d934cc26,2034-08-24 21:49:10,2230
89e2d29885,2034-06-02 14:07:55,785
02c9bf7fcd,2034-05-09 12:05:02,9184
878047f4b9,2033-11-11 00:22:17,7091
fcf92e8a79,2034-12-19 02:59:07,67624
92a98935e9,2034-03-29 15:35:24,25330
1cc450bf24,2034-03-12 05:03:17,4902
2d5c822138,2033-06-16 03:29:52,1600
85be6b21a9,2033-08-11 21:13:05,24564
fc26da0b69,2034-02-05 01:19:10,3176
6ec7b50636,2034-11-30 05:45:01,5143
33285883bc,2033-04-21 14:52:15,2098
1ddaea9838,2033-02-10 14:28:22,1598
734d83bb25,2033-02-22 07:15:55,8348
4cfc3d977b,2034-11-30 17:24:35,8078
92a956086b,2034-10-03 06:36:25,8731
207cc1c4a7,2033-12-31 20:31:21,1346
06fe79e266,2034-08-08 15:50:36,1861
5c5787e250,2034-12-24 22:37:12,17380
5608f200cf,2033-10-18 21:41:56,901
92a98935e9,2034-06-28 01:07:57,21428
49dbe71c0f,2033-03-28 14:36:22,301724
dde986e367,2034-12-13 21:51:15,64174
aba48c0bce,2034-03-20 15:31:44,5899
313a1b3626,2034-08-18 23:05:52,5746
c8816eeacc,2034-07-24 16:17:02,5095
4c88e761da,2034-09-30 18:01:17,6114
8ddaf82b3d,2034-11-22 19:42:27,2784
ea4992be3e,2034-09-18 17:59:29,8367
ac093b52d3,2034-06-28 20:15:50,23356
4ec0b84264,2034-08-11 20:15:45,4662
d0f8b06e47,2034-03-15 20:12:59,3295
f11205719b,2034-07-08 02:27:42,8489
2e363fb57b,2034-06-15 18:50:58,2521
24432e3f75,2034-08-06 23:38:02,8614
4ec0b84264,2034-01-28 14:47:40,1579
7e2777daef,2034-12-02 15:26:37,14060
ff2221ba77,2034-08-09 15:39:04,8862
e24f3f86d4,2034-11-28 17:22:24,2160
1fb9b5d5e8,2033-07-27 21:54:32,2461
bdebc6831e,2034-04-03 01:48:31,18674
55244515a3,2034-04-13 16:41:34,2906
bdebc6831e,2034-01-12 03:12:21,53810
48e3fbb72a,2034-10-19 05:26:35,436
a8ff2d667e,2034-03-26 20:41:58,2458
8c7e0a904c,2034-09-11 23:01:06,1774
9ba05d1119,2034-06-29 00:14:18,3211
dd89fe7b7a,2033-09-01 10:09:15,6262
4a9d4b8c98,2034-01-09 00:31:12,6345
a57a6c6d75,2034-10-03 14:08:29,5666
793668c448,2034-11-05 16:21:51,10950
cd1366647d,2034-06-10 01:26:58,29504
0d970b6c59,2034-08-20 02:12:59,4908
b8b8015cea,2034-08-06 15:41:41,7727
4a9d4b8c98,2033-11-27 21:35:46,4721
a9060c604b,2034-08-01 08:04:50,22711
081cba096f,2034-11-09 16:18:22,10667
5134ac7db1,2034-09-06 21:54:00,5581
32acddd6cc,2034-06-21 19:07:14,143168
2017052482,2033-09-12 17:32:27,9162
9471bae4f7,2034-05-25 01:02:37,24944
8f2154d33d,2034-02-22 23:40:31,11672
5714e86fba,2034-07-31 02:59:42,31814
e9bf59ba62,2034-08-28 04:30:48,1072
e367c9c354,2034-11-04 17:22:15,3956
b3aea0e440,2034-02-06 00:26:50,10915
c55aa09955,2034-05-05 00:46:13,4449
36745cc693,2033-09-17 21:54:16,1059
a8ff2d667e,2034-12-12 00:32:10,8652
d64d27b68e,2034-11-17 14:21:18,5797
f043cb2303,2034-01-11 02:45:38,2772
f1c0357754,2034-04-04 17:08:21,43934
b71ac0c792,2034-10-31 02:59:10,6874
2232f19dac,2033-12-07 03:33:54,5616
5229ca4d0d,2034-06-08 12:48:27,15339
51de14940a,2033-09-18 02:58:31,5773
a99b09e39e,2033-11-25 17:37:46,5042
a43b098a71,2034-12-09 23:13:49,10671
63efc5550c,2033-03-31 03:09:08,6891
c4d67b1390,2034-05-11 23:59:41,2993
4647d230cc,2034-03-25 17:01:01,4626
1e049e7033,2033-06-27 02:48:53,19386
4ce3f86e19,2034-08-20 22:42:43,42906
207cc1c4a7,2034-09-04 18:45:55,3482
edd389f705,2034-11-16 19:14:35,3436
af2a6a3596,2034-08-15 19:41:14,2493
94d2133957,2034-05-26 16:44:15,9530
3e357ef9c3,2033-03-10 22:07:46,802
5608f200cf,2034-06-12 05:54:39,869
1ddaea9838,2033-04-27 17:14:49,1598
222d3b4cfc,2034-12-15 12:52:57,10372
7183365b80,2034-01-03 00:57:46,671
1ee596339f,2034-05-06 04:43:09,9325
ef8a38e501,2034-12-18 22:09:23,1091
0b3b179a82,2034-09-23 00:14:05,10388
c9cfc30d8c,2033-08-12 17:43:17,14525
2eb84a3cf6,2034-11-28 04:24:02,7264
480255a918,2034-12-04 23:43:42,65546
878047f4b9,2033-12-11 00:46:31,4169
3cc77ac046,2034-12-03 04:39:20,5427
4525913c4b,2034-05-06 22:28:18,121841
a03a7df510,2034-08-04 20:53:27,10595
82570b03bc,2034-08-22 23:07:35,2753
7183365b80,2034-01-12 01:07:54,1692
00575c7901,2034-08-23 02:29:38,4860
ff86f631bd,2034-10-18 02:13:50,4403
92ef21a275,2033-04-29 00:09:24,5752
116b98b2d3,2034-12-08 15:58:43,1969
f0613788a6,2034-07-12 00:43:28,6743
7fda759f60,2034-02-24 21:06:19,5133
66c04a8911,2034-10-12 19:10:08,6441
3cc77ac046,2034-02-06 18:45:04,15665
984022e977,2034-11-01 11:51:58,4339
89e2d29885,2034-02-16 13:57:53,1243
4f65280858,2033-07-26 19:25:55,7133
53cbaaddf1,2033-03-13 19:19:03,14841
6ac49784a8,2033-08-03 18:59:21,1103
c9fdb196a8,2034-09-01 15:44:43,2073
de9e4801de,2034-11-03 18:43:00,4852
0a0d8d3537,2034-03-18 20:45:49,6569
701c696579,2034-08-10 01:56:49,3335
d8ebf7cce8,2034-08-30 20:48:08,94616
1e59e29ddb,2034-04-17 03:25:59,7345
fa634928a7,2034-10-19 20:01:24,10666
bc66ddca2c,2034-11-25 02:26:05,4886
9d367aecbe,2033-10-13 00:39:41,10651
3dcf438e54,2034-12-05 03:10:14,3505
6ac49784a8,2034-11-15 18:39:03,3708
8d20721d59,2033-07-11 04:59:40,2018
8d20721d59,2033-05-18 03:59:19,6574
f8166adfae,2034-10-08 01:16:21,23447
35228263e1,2033-08-20 00:18:54,4469
b7dc8b688b,2033-09-28 02:00:41,3828
6ac49784a8,2033-01-13 16:36:03,1723
00575c7901,2034-12-06 06:16:55,15569
de9e4801de,2034-08-30 16:35:16,3008
0a85289b53,2034-05-25 21:38:56,6252
6044a863a1,2034-12-20 22:26:49,9054
4770051790,2034-06-26 21:51:39,3821
9503846f58,2034-03-03 10:31:13,2640
ce54c1ba8f,2033-08-26 19:31:14,13826
07cabcb557,2034-03-28 23:45:48,2157
7783a876c4,2033-09-28 18:44:04,13214
623078ebfa,2034-02-18 20:18:10,34118
3cea5d394a,2034-07-13 03:36:17,11315
85be6b21a9,2034-12-18 19:08:34,19580
a223d96e2e,2034-06-11 14:46:17,28656
671478b74b,2033-12-30 20:16:12,26766
a4ae5bbbca,2034-08-20 14:29:33,3393
78639fbae7,2034-12-20 16:33:24,6435
c80a0359e7,2033-08-11 12:29:31,14478
a9f00c4b46,2034-07-30 06:50:58,5423
beb6636fa5,2034-05-08 20:54:17,10643
dc6610d4a3,2034-12-27 20:35:21,9865
253f9480f0,2034-02-08 23:36:50,45572
1578ac7028,2034-06-30 08:47:43,17971
44ee3ec72c,2034-10-21 04:07:37,44617
bdebc6831e,2034-05-17 21:33:49,22363
a8f24a485a,2034-05-01 14:07:47,62833
24b0f775f4,2034-08-18 18:28:47,2098
5608f200cf,2034-08-01 19:02:15,820
f7373380ab,2033-11-24 17:52:54,13084
e7b7558d69,2033-07-29 01:33:44,1488
63b751de1e,2033-10-19 16:22:43,5359
59b9ede666,2034-12-06 06:15:48,45439
5608f200cf,2033-10-30 01:30:04,820
d087d4c321,2034-12-18 01:21:43,5757
54a54eefc1,2034-02-04 19:40:58,82629
a15e98ab87,2034-02-17 13:44:47,13359
0b229bf299,2034-07-06 22:57:48,3501
ffb94e1865,2034-10-16 03:13:48,4168
655ef31889,2034-09-01 03:35:54,4597
c632bd590c,2034-03-18 18:55:04,9561
d2a4b8a797,2034-12-08 23:13:16,20846
32acddd6cc,2034-09-03 06:32:22,10687
7e2777daef,2034-12-25 15:34:59,11082
654930c922,2033-01-12 10:26:32,10071
ae9fecc6be,2033-11-29 03:00:09,3319
f9067a0cef,2034-09-15 03:18:26,4840
7a0f71171d,2033-12-18 00:18:16,3419
80649e9ceb,2034-04-20 21:17:47,28344
e721a3ee1c,2033-08-19 19:45:38,11894
490c15c4ce,2034-10-25 12:28:09,454
6fb115c88f,2034-10-27 01:16:55,36630
fb617fb1cb,2034-06-08 23:54:22,8849
74d934cc26,2034-11-03 22:44:21,2097
840b15b900,2034-12-30 20:28:06,10536
8491989614,2033-03-18 20:38:47,938
8316d97627,2033-12-22 16:14:32,8524
62048b9e11,2034-09-30 17:35:15,18499
005e8bb6fb,2033-06-27 16:47:39,47599
0fa8d3ebd7,2034-11-03 17:43:35,7319
7ebe98c24a,2034-04-12 07:39:36,4932
bdebc6831e,2034-06-24 17:39:07,38471
f591f18a05,2034-07-20 00:44:00,2125
fd4be41f14,2034-03-16 15:28:55,9740
94d1ce0a74,2033-09-08 13:51:09,23258
8a181b1e03,2034-09-27 14:34:58,12492
c80dfa648c,2034-11-22 21:16:35,4298
03413dc039,2033-11-21 17:32:51,13490
2e363fb57b,2034-03-11 04:01:26,877
8ca23d4d9e,2034-05-12 23:44:01,4195
0b0ea71d37,2034-08-07 01:46:23,14508
4ec0b84264,2034-03-16 20:15:01,1224
71a3c03fc8,2034-12-10 04:45:51,3099
062de5273b,2034-10-10 01:58:41,14682
b6e54d5073,2034-12-30 19:28:49,3575
78639fbae7,2034-06-12 02:02:23,9129
b8a9e64299,2034-07-07 21:13:02,1011
53b3fbeae2,2034-07-22 00:46:36,2970
0c42436833,2034-11-13 18:07:08,5582
ffb94e1865,2034-10-17 17:22:10,10454
d26e4cd2d1,2034-11-15 12:51:45,4664
f963dba716,2034-06-28 15:22:46,3697
30986e2424,2034-08-14 19:47:14,978
a3776a3fe1,2034-03-22 01:55:02,5705
9ff8b6fd9b,2034-06-26 21:03:17,3831
6fb115c88f,2034-10-28 23:41:21,4360
ac865a567e,2034-11-07 01:33:59,3790
d3589849b2,2034-04-21 16:53:31,8991
c9badf7a4b,2033-11-30 13:29:05,2742
4da8676d0b,2034-07-13 23:12:56,15081
554a9ad55b,2034-06-10 01:00:02,7649
82897075ed,2033-11-19 15:15:59,29315
56e06138e7,2034-05-21 18:36:42,2805
ce61387781,2033-07-20 03:03:39,36125
fa1b52dea7,2033-10-27 13:11:24,913
116e6da3a5,2034-07-21 21:36:10,32447
a84a3c411c,2033-10-02 07:14:35,1461
f1dac61590,2034-11-27 23:12:42,3221
d522d0a678,2033-08-09 17:19:03,22800
ef4f593bff,2034-10-19 22:51:33,20706
89e2d29885,2033-08-03 22:30:58,3504
6032e301e1,2034-06-04 18:43:10,2293
4770051790,2034-06-05 00:30:17,104875
53b3fbeae2,2034-04-02 22:38:40,5212
621347ca71,2034-09-24 11:49:06,82595
33a112b6dc,2034-10-14 17:01:28,289279
5f4d00b948,2034-09-26 13:54:09,4275
8ca23d4d9e,2034-12-23 17:32:47,7994
2abdbf6aac,2034-09-01 07:25:00,213533
16acd8f383,2033-10-21 08:01:25,755
8a2815e5d7,2033-09-01 17:30:09,9380
4ac0aa5c38,2034-08-11 15:21:40,3946
1ddaea9838,2033-07-27 18:10:27,2509
a71956cc3e,2034-08-31 18:25:11,18206
7cc864c4a4,2033-07-15 02:46:23,2311
831c07a9ac,2034-04-10 02:49:22,4753
a0c43184a0,2034-04-07 23:31:21,9138
4647d230cc,2034-10-03 19:30:41,3752
e9a4959922,2033-02-04 19:12:02,3941
0b0ea71d37,2034-08-06 23:05:30,12342
62048b9e11,2034-08-02 14:01:33,14065
c6fa4f250d,2033-12-03 17:28:46,12263
00575c7901,2034-12-11 14:21:55,14367
ab49f735f3,2034-10-25 19:26:33,4435
37fe8cf4c4,2034-08-05 22:20:56,1978
7ebe98c24a,2034-05-26 04:14:54,4774
207cc1c4a7,2034-12-09 20:50:42,4344
faa029c6b0,2034-04-17 23:29:15,14118
5d134e7daa,2034-07-07 22:36:09,5953
f7d2717f21,2033-07-05 21:15:05,63096
ce61387781,2033-07-20 03:45:05,76776
51fa990c7b,2034-10-08 01:19:33,2801
a7f566f473,2033-06-22 02:34:34,5054
4ec0b84264,2033-11-22 18:14:45,1908
64a4b88755,2033-11-05 02:07:14,16979
ee57011cd9,2033-09-08 19:15:59,10646
15b1a0d61e,2034-12-28 01:19:20,1739
00575c7901,2034-09-19 13:02:50,6056
2d0459034b,2034-12-01 14:08:07,564
7e696e1b23,2034-08-25 03:19:53,4793
29892bc4f6,2034-05-25 12:29:28,3148
765b095bca,2033-04-07 03:58:22,5966
b0276c5ff2,2034-02-18 00:23:34,3613
27a4ea8e5d,2034-07-27 15:11:30,3642
207cc1c4a7,2034-11-04 22:12:54,19089
3b4d337b10,2033-12-07 21:42:27,760
6dbf31a1f1,2034-07-04 21:52:21,7726
49dbe71c0f,2034-03-19 20:29:49,10661
644f4b8914,2033-02-27 08:11:59,13377
a9f00c4b46,2033-08-31 21:40:05,11214
89e2d29885,2033-03-12 01:06:22,559
b93bef4cf6,2034-08-05 13:36:46,6057
3ff5a05401,2034-09-29 07:08:12,7399
654930c922,2033-01-12 13:31:24,4363
5608f200cf,2034-10-23 22:39:46,874
8d20721d59,2034-12-18 00:03:08,1755
ab7507561e,2033-07-17 23:11:54,2517
062de5273b,2034-08-31 12:32:45,9666
06fe79e266,2033-12-29 17:14:19,1951
53b3fbeae2,2034-12-04 01:54:09,10121
4ca43cd0f5,2034-03-07 06:01:30,17034
65f0553dfb,2033-04-26 16:59:57,1795
07c91f9cc7,2034-02-14 17:14:02,8059
d22bfa1959,2034-03-03 16:01:18,10519
d087d4c321,2034-12-01 23:35:46,15324
6fa93189d6,2034-06-16 15:44:44,39084
04e0e5fd73,2033-09-07 23:50:45,13209
9843e52410,2033-10-11 14:45:17,4786
ea5648b199,2034-06-02 04:02:18,16594
d2f35619e8,2033-11-25 18:09:39,2855
0221b4736b,2033-12-01 09:15:33,5421
7dc2f76f3c,2034-11-09 23:08:17,2521
00575c7901,2034-08-22 14:26:04,5430
eb235d77c6,2034-12-14 13:33:47,3361
37fe8cf4c4,2034-05-08 21:19:07,2481
5eaaa461ff,2034-10-04 21:43:25,490933
32fdf2966c,2033-12-08 21:30:37,14412
d087d4c321,2034-12-22 00:06:12,4382
cc4d93a4a8,2034-10-20 17:09:06,3555
2d4c00a4cd,2034-08-03 16:32:27,65872
3cc77ac046,2034-12-21 02:08:50,6527
d087d4c321,2034-12-11 17:43:58,4382
ff66c68d69,2034-11-02 13:43:47,24761
0cd5f38d30,2034-05-06 14:33:48,939
3ee378c358,2034-06-03 16:49:42,7106
51fa990c7b,2034-12-01 13:30:37,629
554a9ad55b,2034-07-02 03:39:29,9027
b8ed17045f,2034-07-12 18:10:45,14750
64a4b88755,2034-04-14 17:06:00,8150
de9e4801de,2034-01-25 22:06:36,4005
16acd8f383,2033-07-06 17:47:32,757
b8ed17045f,2034-02-05 21:35:05,1360
681836a496,2034-06-19 04:56:54,3957
681836a496,2034-06-23 16:17:25,2151
8746d0112f,2034-09-24 16:50:51,10162
23db8ab47f,2033-10-09 23:04:37,1682
c80a0359e7,2034-09-17 12:32:45,3579
