parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
14380565,,,,3.0,4.0,,,3.0,,,2290.0,2290.0,,,,,6059.0,1.0,3.0,2.0,462.0,True,,33614940.0,-117683594.0,7006.0,,,1.0,,,122,261.0,,60590320.151008,12773.0,1286.0,,96995.0,8.0,,,,,,,1976.0,2.0,,161036.0,509298.0,2016.0,348262.0,5194.28,,,60590320151008.0
14362375,,,,3.0,5.0,,,3.0,,,2484.0,2484.0,,,,,6059.0,,3.0,2.0,614.0,True,,33690888.0,-117665063.0,5512.0,1.0,,,1.0,,122,261.0,,60590524.263002,32380.0,1286.0,,96946.0,0.0,,,,,,,1994.0,,,316773.0,423235.0,2016.0,106462.0,5350.84,,,60590524263002.0
11958092,,,,2.0,2.0,,4.0,2.0,,,1602.0,,,1602.0,,,6037.0,,2.0,,,,,34101051.0,-118227209.0,4258.0,,,,,,0200,246.0,LAR1,60371852.042005,12447.0,3101.0,116774.0,96046.0,0.0,,,,2.0,,,1955.0,,,140104.0,558387.0,2016.0,418283.0,6796.77,,,60371852042005.0
12063788,1.0,,,3.0,3.0,,8.0,3.0,,,1371.0,1371.0,,,,,6037.0,,3.0,,,,2.0,34151000.0,-118271000.0,10093.0,,,,,,010C,266.0,GLR4*,60373017.024013,45457.0,3101.0,275884.0,96322.0,0.0,,,,1.0,,,1983.0,,,180677.0,387088.0,2016.0,206411.0,4207.04,,,60373017024013.0
12302857,,,,4.0,5.0,,4.0,4.0,,,2272.0,,,2272.0,,,6037.0,,4.0,,,,,33940802.0,-118220056.0,4646.0,,,,,,0400,248.0,SGR3YY,60375356.074002,47762.0,3101.0,,96125.0,0.0,,,,4.0,,,1948.0,,,231888.0,412829.0,2016.0,180941.0,5533.35,,,60375356074002.0
14201660,1.0,,,2.5,4.0,,,2.5,,,2219.0,2219.0,,,,,6059.0,1.0,2.0,2.0,595.0,,6.0,33876545.0,-117725141.0,10000.0,,,,,,122,261.0,,60590218.272002,21412.0,1286.0,,97079.0,8.0,,1.0,,,,,1987.0,,,280465.0,786000.0,2016.0,505535.0,9181.8,,,60590218272002.0
12983331,,,,2.0,2.0,,5.0,2.0,,,1419.0,1419.0,,,,,6037.0,,2.0,,,,7.0,34077707.0,-118013128.0,6568.0,,,,,,0100,261.0,EMR1BY,60374326.012008,51861.0,3101.0,762685.0,96479.0,0.0,,,,1.0,,,1947.0,,,111206.0,298514.0,2016.0,187308.0,4625.26,,,60374326012008.0
12092959,,,,1.0,2.0,,5.0,1.0,,,996.0,996.0,,,,,6037.0,,1.0,,,,7.0,34134567.0,-118259651.0,6386.0,,,,,,0100,261.0,GLR4YY,60373024.012005,45457.0,3101.0,274940.0,96323.0,0.0,,,,1.0,,,1920.0,,,17658.0,488652.0,2016.0,470994.0,5383.05,,,60373024012005.0
11845060,1.0,,,3.0,4.0,,7.0,3.0,,,1949.0,1949.0,,,,,6037.0,,3.0,,,,2.0,34058692.0,-118113004.0,27147.0,,,,,,010D,269.0,MPR3*,60374822.022,6021.0,3101.0,,96497.0,0.0,,,,1.0,,,2001.0,,,227488.0,631130.0,2016.0,403642.0,8129.01,,,60374822022000.0
12251948,,,,1.0,2.0,,4.0,1.0,,,904.0,904.0,,,,,6037.0,,1.0,,,,7.0,33913957.0,-118294177.0,5980.0,,,,,,0100,261.0,GAR1,60376029.002016,45398.0,3101.0,,96104.0,0.0,,,,1.0,,,1950.0,,,82380.0,298239.0,2016.0,215859.0,3787.23,,,60376029002016.0
13034140,,,,2.0,3.0,,6.0,2.0,,,1716.0,1716.0,,,,,6037.0,,2.0,,,,2.0,34122867.0,-117869315.0,6823.0,,,,,,0100,261.0,GDR1,60374039.011001,11626.0,3101.0,,96485.0,0.0,,,,1.0,,,1959.0,,,134999.0,205322.0,2016.0,70323.0,2636.72,,,60374039011001.0
12864305,1.0,,,2.0,4.0,,8.0,2.0,,,1883.0,1883.0,,,,,6037.0,,2.0,,,,2.0,34111356.0,-117732076.0,11490.0,,,,,,0100,261.0,CLRS10000*,60374018.002028,30908.0,3101.0,764147.0,96469.0,0.0,,,,1.0,,,1963.0,,,167772.0,269709.0,2016.0,101937.0,3607.19,,,60374018002028.0
14140160,,,,4.0,5.0,,,4.0,,,2996.0,,,,,2996.0,6059.0,2.0,4.0,0.0,0.0,,,33888984.0,-117907145.0,35061.0,1.0,,,,1.0,122,261.0,,60590016.022001,24812.0,1286.0,,97039.0,7.0,,,,,,,1948.0,2.0,,713525.0,1316016.0,2016.0,602491.0,14526.38,,,60590016022001.0
11286799,1.0,,,1.0,2.0,,6.0,1.0,,,1327.0,1327.0,,,,,6037.0,,1.0,,,,2.0,34695510.0,-118142928.0,8850.0,,,,,,0100,261.0,LRR2*,60379008.062019,5534.0,3101.0,,97317.0,0.0,,,,1.0,,,1948.0,,,137261.0,171576.0,2016.0,34315.0,2813.89,,,60379008062019.0
11058029,,,,2.0,3.0,,6.0,2.0,,,1375.0,1375.0,,,,,6037.0,,2.0,,,,2.0,34274906.0,-118499547.0,7634.0,,,,,,0100,261.0,LARS,60371112.011004,12447.0,3101.0,31817.0,96370.0,0.0,,,,1.0,,,1958.0,,,157160.0,502548.0,2016.0,345388.0,6124.8,,,60371112011004.0
12818710,,,,2.0,2.0,,6.0,2.0,,,1278.0,1278.0,,,,,6037.0,,2.0,,,,2.0,34017572.0,-117983942.0,7945.0,,,,,,0100,261.0,LCA106,60374084.011012,45602.0,3101.0,,96489.0,0.0,,,,1.0,,,1958.0,,,134070.0,204478.0,2016.0,70408.0,2587.24,,,60374084011012.0
13873974,,,,2.0,3.0,,,2.0,,,1816.0,1816.0,,,,,6059.0,,2.0,2.0,533.0,,,33875669.0,-117924637.0,7000.0,,,,,,122,261.0,,60590113.003008,24812.0,1286.0,,97040.0,5.0,,,,,,,2007.0,1.0,,233457.0,640811.0,2016.0,407354.0,7212.16,,,60590113003008.0
12150252,,,,2.0,4.0,,8.0,2.0,,,1935.0,1935.0,,,,,6037.0,,2.0,,,,2.0,34231431.0,-118233178.0,10042.0,1.0,,,,1.0,0101,261.0,LCR11L,60373001.002006,396551.0,3101.0,,96330.0,0.0,,,,1.0,,,1960.0,,,240407.0,715719.0,2016.0,475312.0,7927.74,,,60373001002006.0
14180744,,,,3.0,4.0,,,3.0,,,2387.0,2387.0,,,,,6059.0,,3.0,2.0,637.0,,,33873243.0,-117857587.0,7000.0,,,,,,122,261.0,,60590117.162014,26531.0,1286.0,,97068.0,9.0,,,,,,,1979.0,2.0,,230121.0,343162.0,2016.0,113041.0,4282.24,,,60590117162014.0
11509476,,,,2.0,2.0,,8.0,2.0,,,790.0,790.0,,,,,6037.0,,2.0,,,,2.0,33872600.0,-118405000.0,4312.0,,,,,,010E,266.0,HBC1*,60376210.043012,29712.0,3101.0,,96109.0,0.0,,,,1.0,,,1972.0,,,185611.0,276469.0,2016.0,90858.0,3204.25,,,60376210043012.0
11579764,1.0,,,4.0,4.0,,10.0,4.0,,,4682.0,4682.0,,,,,6037.0,,4.0,,,,2.0,34042427.0,-118491140.0,7556.0,,,,,,0100,261.0,SMR1*,60377012.012005,26964.0,3101.0,761547.0,96149.0,0.0,,,,1.0,,,1986.0,,,800980.0,2881451.0,2016.0,2080471.0,33433.39,,,60377012012005.0
12235936,,,,1.0,2.0,,5.0,1.0,,,748.0,748.0,,,,,6037.0,,1.0,,,,,33935347.0,-118283193.0,4889.0,,,,,,0100,261.0,LAR1,60372412.022003,12447.0,3101.0,118208.0,96025.0,0.0,,,,1.0,,,1925.0,,,42335.0,211684.0,2016.0,169349.0,2669.29,,,60372412022003.0
12209246,,,,1.0,2.0,,6.0,1.0,,,1090.0,1090.0,,,,,6037.0,,1.0,,,,7.0,33954049.0,-118300189.0,4520.0,,,,,,0100,261.0,LAR1,60372384.002012,118914.0,3101.0,,96028.0,0.0,,,,1.0,,,1936.0,,,62083.0,127758.0,2016.0,65675.0,1680.34,,,60372384002012.0
12487209,,,,2.0,3.0,,4.0,2.0,,,1064.0,1064.0,,,,,6037.0,,2.0,,,,7.0,33846104.0,-118110704.0,5156.0,1.0,,,,1.0,0101,261.0,LKR1YY,60375711.011004,12292.0,3101.0,,96213.0,0.0,,,,1.0,,,1950.0,,,108000.0,539000.0,2016.0,431000.0,6644.47,,,60375711011004.0
11688275,,,,2.0,4.0,,7.0,2.0,,,1621.0,1621.0,,,,,6037.0,,2.0,,,,2.0,34030666.0,-118838032.0,8316.0,1.0,,,,1.0,0101,261.0,LCR18000*,60378004.084,12520.0,3101.0,,96116.0,0.0,,,,1.0,,,1964.0,,,90796.0,454008.0,2016.0,363212.0,5761.56,,,60378004084000.0
17163667,,,,2.0,4.0,,,2.0,,1506.0,1506.0,1506.0,,,1506.0,,6111.0,,2.0,1.0,360.0,,,34191571.0,-119183076.0,7000.0,,,,,,1110,261.0,,61110086.002009,13150.0,2061.0,,97101.0,7.0,,,,,,,1944.0,1.0,,54610.0,73110.0,2016.0,18500.0,833.88,,,61110086002009.0
11064304,,,,2.0,4.0,,8.0,2.0,,,1660.0,1660.0,,,,,6037.0,,2.0,,,,2.0,34260025.0,-118507594.0,8999.0,,,,,,0100,261.0,LARS,60371113.011013,12447.0,3101.0,31817.0,96370.0,0.0,,,,1.0,,,1963.0,,,55431.0,246671.0,2016.0,191240.0,3097.1,,,60371113011013.0
17089105,,,,2.5,3.0,,,2.5,,880.0,1660.0,1660.0,,,880.0,,6111.0,1.0,2.0,2.0,0.0,,,34265848.0,-119225642.0,,,,,,,1129,266.0,,61110015.021021,34543.0,2061.0,,97083.0,7.0,,1.0,,,,,1989.0,2.0,,135654.0,388323.0,2016.0,252669.0,4130.98,,,61110015021021.0
12423571,,,,3.0,4.0,,8.0,3.0,,,2010.0,2010.0,,,,,6037.0,,3.0,,,,2.0,33850856.0,-118084859.0,6504.0,1.0,,,,1.0,0104,261.0,CERS6500,60375545.223013,10774.0,3101.0,,96206.0,0.0,,,,1.0,,,1976.0,,,114900.0,169135.0,2016.0,54235.0,2129.71,,,60375545223013.0
12793639,1.0,,,3.0,4.0,,,3.0,,,2058.0,2058.0,,,,,6037.0,,3.0,,,,2.0,33941455.0,-118035039.0,7841.0,,,,,,0100,261.0,LCRA6000*,60375032.023007,118225.0,3101.0,,96173.0,0.0,,,,1.0,,,2000.0,,,156490.0,421556.0,2016.0,265066.0,5073.34,,,60375032023007.0
11460062,,,,3.0,4.0,,8.0,3.0,,,3169.0,3169.0,,,,,6037.0,,3.0,,,,2.0,33974591.0,-118405120.0,7114.0,,,,,,0100,261.0,LAR1,60372770.003005,12447.0,3101.0,7877.0,96026.0,0.0,,,,1.0,,,1950.0,,,383655.0,789384.0,2016.0,405729.0,9628.16,,,60372770003005.0
10834775,,,,1.0,2.0,,4.0,1.0,,,790.0,790.0,,,,,6037.0,,1.0,,,,7.0,34202438.0,-118511799.0,6016.0,,,,,,0100,261.0,LAR1,60371319.003008,12447.0,3101.0,32368.0,96415.0,0.0,,,,1.0,,,1949.0,,,68134.0,296464.0,2016.0,228330.0,3714.28,,,60371319003008.0
10907795,,,,3.0,3.0,,8.0,3.0,,,2512.0,2512.0,,,,,6037.0,,3.0,,,,2.0,34153547.0,-118382769.0,11513.0,1.0,,,,1.0,0101,261.0,LAR1,60371433.005001,12447.0,3101.0,47880.0,96447.0,0.0,,,,1.0,,,1940.0,,,248533.0,1041396.0,2016.0,792863.0,12563.86,,,60371433005001.0
12930602,1.0,,,3.0,3.0,,6.0,3.0,,,1474.0,1474.0,,,,,6037.0,,3.0,,,,2.0,34084200.0,-117901000.0,1592.0,,,,,,010D,269.0,CVR17500PC,60374060.004013,24245.0,3101.0,,96473.0,0.0,,,,1.0,,,1985.0,,,34974.0,53585.0,2016.0,18611.0,916.78,,,60374060004013.0
17272694,,,,4.5,4.0,,,4.5,66.0,1752.0,3691.0,3691.0,,,1752.0,,6111.0,1.0,4.0,2.0,672.0,,,34194080.0,-118911410.0,7173.0,1.0,376.0,,,1.0,1111,261.0,,61110061.001001,34278.0,2061.0,46736.0,96351.0,9.0,,1.0,,,252.0,,2004.0,2.0,,369684.0,1056241.0,2016.0,686557.0,11306.7,,,61110061001001.0
11847259,1.0,,,1.0,3.0,,6.0,1.0,,,1422.0,1422.0,,,,,6037.0,,1.0,,,,2.0,34058895.0,-118134192.0,7917.0,,,,,,0100,261.0,MPR1YY,60374821.013011,6021.0,3101.0,,96496.0,0.0,,,,1.0,,,1942.0,,,109535.0,355856.0,2016.0,246321.0,4654.7,,,60374821013011.0
12804622,,,,2.0,3.0,,6.0,2.0,,,1601.0,1601.0,,,,,6037.0,,2.0,,,,7.0,33991641.0,-118070168.0,5594.0,,,,,,0100,261.0,LCR1YY,60375010.011015,396556.0,3101.0,,96174.0,0.0,,,,1.0,,,1949.0,,,108556.0,156558.0,2016.0,48002.0,2272.86,,,60375010011015.0
14660526,,,,3.0,3.0,,,3.0,,,1523.0,1523.0,,,,,6059.0,,3.0,2.0,0.0,,,33693325.0,-117818275.0,,,,,,,1,266.0,,60590525.155003,52650.0,1286.0,275979.0,96943.0,0.0,,,,,,,2006.0,,,255781.0,520000.0,2016.0,264219.0,7251.74,,,60590525155003.0
11405164,,,,2.0,3.0,,6.0,2.0,,,1194.0,1194.0,,,,,6037.0,,2.0,,,,7.0,33958407.0,-118344800.0,4187.0,,,,,,0100,261.0,INR3YY,60376010.023013,45888.0,3101.0,,96133.0,0.0,,,,1.0,,,1940.0,,,104469.0,365489.0,2016.0,261020.0,5145.14,,,60376010023013.0
12009079,,,,4.0,6.0,,5.0,4.0,,,3268.0,,,3268.0,,,6037.0,,4.0,,,,7.0,34091506.0,-118288026.0,7706.0,,,,,,0400,248.0,LARD1.5,60371913.012004,12447.0,3101.0,32059.0,96010.0,0.0,,,,4.0,,,1905.0,,,87176.0,391531.0,2016.0,304355.0,5048.39,,,60371913012004.0
12044285,1.0,,,3.0,4.0,,9.0,3.0,,,3310.0,3310.0,,,,,6037.0,,3.0,,,,2.0,34194953.0,-118290808.0,6296.0,,,,,,0100,261.0,BUR1*,60373101.004,396054.0,3101.0,,96433.0,0.0,,,,1.0,,,1979.0,,,408797.0,1045583.0,2016.0,636786.0,11598.51,,,60373101004000.0
12154757,,,,3.0,5.0,,8.0,3.0,,,2479.0,2479.0,,,,,6037.0,,3.0,,,,2.0,34209209.0,-118195863.0,12123.0,,,,,,0100,261.0,LFR110000*,60374605.022012,46080.0,3101.0,,96271.0,0.0,,,,1.0,,,1951.0,,,259330.0,856009.0,2016.0,596679.0,10882.86,,,60374605022012.0
11724804,,,,1.0,2.0,,6.0,1.0,,,1081.0,1081.0,,,,,6037.0,,1.0,,,,7.0,34023959.0,-118355893.0,6633.0,,,,,,0100,261.0,LAR1,60372201.002006,12447.0,3101.0,268581.0,95997.0,0.0,,,,1.0,,,1940.0,,,67603.0,338022.0,2016.0,270419.0,4134.88,,,60372201002006.0
14132465,,,,3.0,4.0,,,3.0,,,2609.0,2609.0,,,,,6059.0,,3.0,2.0,615.0,,,33865839.0,-118035330.0,5500.0,,,,,,122,261.0,,60591101.151004,15237.0,1286.0,,96183.0,0.0,,,,,,,1989.0,,,306861.0,748420.0,2016.0,441559.0,8473.46,,,60591101151004.0
11407904,,,,3.0,1.0,,,3.0,,,1484.0,,,1484.0,,,6037.0,,3.0,,,,,33948437.0,-118350830.0,6385.0,,,,,,0300,247.0,INP1YY,60376011.002003,45888.0,3101.0,,96133.0,0.0,,,,3.0,,,1940.0,,,51925.0,194737.0,2016.0,142812.0,3045.21,,,60376011002003.0
13915491,,,,0.0,0.0,,,,,,3469.0,,,,,3469.0,6059.0,,,0.0,0.0,,,33849027.0,-117944212.0,7292.0,,,,,,96,248.0,,60590867.014018,16764.0,1286.0,274800.0,97020.0,0.0,,,,4.0,,,1962.0,2.0,,152933.0,338121.0,2016.0,185188.0,4730.26,,,60590867014018.0
10957255,,,,2.0,2.0,,4.0,2.0,,,1500.0,,,1500.0,,,6037.0,,2.0,,,,7.0,34177435.0,-118339278.0,6599.0,,,,,,0200,246.0,BUR1*,60373113.002019,396054.0,3101.0,,96437.0,0.0,,,,2.0,,,1951.0,,,198000.0,660000.0,2016.0,462000.0,7322.81,,,60373113002019.0
11313425,1.0,,,3.0,4.0,,8.0,3.0,,,2209.0,2209.0,,,,,6037.0,,3.0,,,,2.0,34667173.0,-118070975.0,7168.0,,,,,,0100,261.0,LRA22*,60379005.042,5534.0,3101.0,,97318.0,0.0,,,,1.0,,,2009.0,,,191403.0,239252.0,2016.0,47849.0,4659.64,,,60379005042000.0
12350281,,,,3.0,3.0,,6.0,3.0,,,1568.0,1568.0,,,,,6037.0,,3.0,,,,7.0,33940774.0,-118115586.0,5835.0,,,,,,0100,261.0,DOR15000*,60375510.004003,4406.0,3101.0,,96101.0,0.0,,,,1.0,,,1949.0,,,130326.0,390452.0,2016.0,260126.0,4868.54,,,60375510004003.0
12612912,,,,2.0,3.0,,4.0,2.0,,,1891.0,1891.0,,,,,6037.0,,2.0,,,,2.0,33795930.0,-118312441.0,4188.0,,,,,,0100,261.0,LOR1*,60376700.022005,53027.0,3101.0,,96217.0,0.0,,,,1.0,,,1926.0,,,224000.0,613000.0,2016.0,389000.0,7546.76,,,60376700022005.0
13029309,,,,1.0,4.0,,4.0,1.0,,,1156.0,1156.0,,,,,6037.0,,1.0,,,,7.0,34118243.0,-117874712.0,6051.0,,,,,,0100,261.0,GDR1,60374039.01201,11626.0,3101.0,,96485.0,0.0,,,,1.0,,,1955.0,,,26072.0,41373.0,2016.0,15301.0,810.46,,,60374039012010.0
14229652,,,,3.0,4.0,,,3.0,,,2415.0,2415.0,,,,,6059.0,,3.0,1.0,390.0,,,33812206.0,-117822203.0,7560.0,,,,,,122,261.0,,60590758.122,33252.0,1286.0,,97065.0,8.0,,,,,,,1965.0,2.0,,136398.0,684786.0,2016.0,548388.0,7422.9,Y,15.0,60590758122000.0
14520607,,,,0.0,0.0,,,,,,,,,,,,6059.0,,,,,,,33739700.0,-117971000.0,,,,,,,73,263.0,,60590992.222006,34780.0,1286.0,,96990.0,0.0,,,,,,,,,,6773.0,6773.0,2016.0,,,,,60590992222006.0
12800101,1.0,,,1.0,4.0,,4.0,1.0,,,1210.0,1210.0,,,,,6037.0,,1.0,,,,2.0,33950796.0,-118050610.0,11172.0,,,,,,0100,261.0,LCA106,60375029.021011,118225.0,3101.0,,96173.0,0.0,,,,1.0,,,1949.0,,,58440.0,292207.0,2016.0,233767.0,3760.62,,,60375029021011.0
13875344,,,,1.0,2.0,,,1.0,,,720.0,,,,,720.0,6059.0,,1.0,,,,,33873560.0,-117910241.0,6442.0,,,,,,122,261.0,,60590114.035002,24812.0,1286.0,,97039.0,5.0,,,,,,,1912.0,1.0,,28682.0,371363.0,2016.0,342681.0,4499.96,,,60590114035002.0
14128194,,,,2.5,3.0,,,2.5,,,1603.0,1603.0,,,,,6059.0,1.0,2.0,2.0,479.0,,,33841334.0,-117869107.0,5238.0,,,,,,122,261.0,,60590864.071012,16764.0,1286.0,274765.0,97025.0,7.0,,1.0,,,,,1971.0,1.0,,97713.0,431697.0,2016.0,333984.0,9560.28,,,60590864071012.0
10968504,,,,1.0,3.0,,4.0,1.0,,,1086.0,1086.0,,,,,6037.0,,1.0,,,,7.0,34302410.0,-118440398.0,7271.0,,,,,,0100,261.0,LAR1,60371064.032007,12447.0,3101.0,34213.0,96368.0,0.0,,,,1.0,,,1952.0,,,91015.0,415999.0,2016.0,324984.0,5011.84,,,60371064032007.0
11838649,1.0,,,5.0,4.0,,7.0,5.0,,,3427.0,3427.0,,,,,6037.0,,5.0,,,,2.0,34050511.0,-118139399.0,23385.0,,,,,,0100,261.0,MPR1YY,60374820.023004,6021.0,3101.0,,96496.0,0.0,,,,1.0,,,2007.0,,,1160000.0,1960000.0,2016.0,800000.0,24286.19,,,60374820023004.0
14734993,,,,2.5,1.0,,,2.5,,,1496.0,1496.0,,,,,6059.0,,2.0,2.0,0.0,,,33774107.0,-117863934.0,,,,,,,1,266.0,,60590760.002022,47568.0,1286.0,,97005.0,0.0,,1.0,,,,,2006.0,,,211619.0,380912.0,2016.0,169293.0,4276.26,,,60590760002025.0
12587960,1.0,,,2.0,3.0,,6.0,2.0,,,1574.0,1574.0,,,,,6037.0,,2.0,,,,2.0,33820420.0,-118277549.0,5359.0,,,,,,0100,261.0,CARS*,60375436.011007,10723.0,3101.0,,96229.0,0.0,,,,1.0,,,1956.0,,,147892.0,383593.0,2016.0,235701.0,5117.7,Y,15.0,60375436011007.0
14712700,,,,1.5,2.0,,,1.5,,,1087.0,1087.0,,,,,6059.0,,1.0,2.0,0.0,,,33838463.0,-117953471.0,,,,,,,34,266.0,,60590871.02202,16764.0,1286.0,274800.0,97020.0,0.0,,1.0,,,,,1984.0,,,98412.0,355000.0,2016.0,256588.0,4314.64,,,60590871022020.0
11951495,,,,1.0,2.0,,4.0,1.0,,,1124.0,1124.0,,,,,6037.0,,1.0,,,,7.0,34111995.0,-118258503.0,3900.0,,,,,,0100,261.0,LAR1,60371871.011009,12447.0,3101.0,268010.0,96020.0,0.0,,,,1.0,,,1931.0,,,66491.0,166236.0,2016.0,99745.0,2142.4,,,60371871011009.0
11555202,,,,2.0,3.0,,8.0,2.0,,,1923.0,1923.0,,,,,6037.0,,2.0,,,,7.0,34016361.0,-118435252.0,7911.0,,,,,,0100,261.0,LAR1,60372715.002001,12447.0,3101.0,116415.0,96047.0,0.0,,,,1.0,,,1947.0,,,150996.0,754995.0,2016.0,603999.0,9163.76,,,60372715002001.0
